sample_id,total_reads,pass_qc,reads_mapped,reference,percent_reference_coverage,median_coverage,count_minor_snv_at_or_over_5_pct,pass_fail_reason,subtype,mira_module,runid,instrument,clade,short_clade,subclade
3101505695_N90N7ACU_v1,797678,790691,116365,A_HA_H3,99.82,5558,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101505695_N90N7ACU_v1,797678,790691,126313,A_MP,100.0,10526,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101505695_N90N7ACU_v1,797678,790691,73007,A_NA_N2,100.0,4324,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101505695_N90N7ACU_v1,797678,790691,83650,A_NP,100.0,4776,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101505695_N90N7ACU_v1,797678,790691,52713,A_NS,97.1,5108,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101505695_N90N7ACU_v1,797678,790691,121234,A_PA,100.0,3940,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101505695_N90N7ACU_v1,797678,790691,80663,A_PB1,100.0,2882,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101505695_N90N7ACU_v1,797678,790691,116121,A_PB2,100.0,4365,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678967_N90NX5D4_v1,902732,893867,114121,A_HA_H3,99.82,5441,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678967_N90NX5D4_v1,902732,893867,133038,A_MP,100.0,10927,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678967_N90NX5D4_v1,902732,893867,76891,A_NA_N2,100.0,4553,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678967_N90NX5D4_v1,902732,893867,112049,A_NP,100.0,6240,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678967_N90NX5D4_v1,902732,893867,78785,A_NS,97.1,7651,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678967_N90NX5D4_v1,902732,893867,112553,A_PA,100.0,4205,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678967_N90NX5D4_v1,902732,893867,104904,A_PB1,100.0,3462,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
